t,x1,x2,v1,v2
0.0,1.0,0.0,0.0,0.0
0.010001666944490749,0.9997749335316869,2.5006458173291354e-05,-0.04500408310006475,0.0050000831698726305
0.020003333888981498,0.9990998366744556,0.00010000332435307836,-0.08998765804476613,0.00999566476615896
0.030005000833472247,0.9979750502103505,0.00022491234744355552,-0.13493046493102745,0.01498232228927526
0.040006667777962995,0.9964012312207227,0.000399574281011634,-0.17981294902599815,0.019955857907694618
0.050008334722453744,0.9943790744600765,0.0006238390665282362,-0.22461428457870397,0.024911669478809524
0.06001000166694449,0.9919094559466551,0.0008975193331343009,-0.2693136112510696,0.029845144080064404
0.07001166861143523,0.988993456464247,0.0012203827893930586,-0.3138902145261682,0.03475171543432105
0.08001333555592599,0.9856323615621853,0.001592152223290034,-0.3583235257082222,0.03962686390985859
0.09001500250041675,0.9818276615553484,0.002012505502233041,-0.4025931219226022,0.04446611652037352
0.10001666944490749,0.9775810515241596,0.0024810755730521883,-0.44667872611582804,0.049265046924979676
0.11001833638939823,0.9728944313145873,0.0029974504619998746,-0.4905602070555683,0.05401927542820826
0.12002000333388899,0.9677699055381449,0.003561173274750794,-0.5342175793306402,0.058724468980007806
0.13002167027837974,0.9622097835718908,0.00417174219640193,-0.5776310033510097,0.06337634117574424
0.14002333722287047,0.9562165795584282,0.0048286104914725585,-0.620780785347792,0.06797065225620078
0.15002500416736123,0.9497930124059056,0.00553118650390425,-0.6636473773732505,0.07250320910757806
0.16002667111185198,0.9429420057880165,0.006278833657060868,-0.7062113773007977,0.07696986526149403
0.17002833805634274,0.9356666881439992,0.00707087045372856,-0.7484535288249948,0.081366520894984
0.1800300050008335,0.9279703926786372,0.007906570476115777,-0.7903547214615516,0.08568912283050062
0.19003167194532422,0.9198566573622591,0.008785162385853251,-0.8318959905473273,0.08993366453591392
0.20003333888981498,0.9113292249307381,0.009705829923994023,-0.8730585172403295,0.09409618612451127
0.21003500583430573,0.9023920428854929,0.010667711911013405,-0.9138236285197143,0.09817277435499738
0.22003667277879646,0.8930492634934869,0.011669902246809017,-0.9541727971857868,0.10215956263149434
0.23003833972328722,0.8833052437872285,0.012711449910700761,-0.9940876418600016,0.10605273100354154
0.24004000666777797,0.8731645455647715,0.013791358961430846,-1.0335499269849604,0.10984850616609582
0.2500416736122687,0.8626318740009621,0.014908607438562734,-1.072542327593977,0.1135434098729153
0.2600433405567595,0.8517117955103957,0.01606223578096797,-1.111051215649917,0.11713516965138776
0.2700450075012502,0.840409328993224,0.01725116589912071,-1.1490585840832606,0.12062009672963726
0.28004667444574094,0.8287296995144735,0.018474274932698327,-1.1865459289969378,0.12399433687109701
0.2900483413902317,0.8166782734412027,0.019730415049632175,-1.2234951308068627,0.12725415583897443
0.30005000833472245,0.8042605584425013,0.02101841344610756,-1.2598884542419326,0.1303959393962509
0.31005167527921323,0.791482203489491,0.02233707234656379,-1.29570854834403,0.13341619330568222
0.32005334222370396,0.7783489988553248,0.02368516900369414,-1.3309384464680198,0.1363115433297981
0.3300550091681947,0.7648668761151873,0.025061455698445874,-1.3655615662817522,0.13907873523090253
0.3400566761126855,0.7510419081462949,0.026464659740020234,-1.3995617097660604,0.14171463477107363
0.3500583430571762,0.7368803091278953,0.02789348346587242,-1.4329230632147612,0.14421622771216355
0.360060010001667,0.7223884345412681,0.029346604241711646,-1.4656301972346566,0.14658061981579878
0.3700616769461577,0.7075727811697243,0.03082267446150106,-1.497668066745531,0.1488050368433798
0.38006334389064844,0.6924399870986067,0.03232032154745783,-1.5290220109801538,0.15088682455608135
0.3900650108351392,0.676996831715289,0.0338381479500531,-1.559677753484278,0.15282344871485226
0.40006667777962995,0.6612502357091777,0.03537473114801194,-1.5896214021166397,0.15461249508041544
0.4100683447241207,0.64520726107171,0.03692862364831347,-1.6188394490489604,0.15625166941326807
0.42007001166861146,0.6288751110963547,0.03849835298619077,-1.6473187707659442,0.1577387974736814
0.4300716786131022,0.6122611303786127,0.04008242172513084,-1.6750466280652798,0.15907182502170092
0.4400733455575929,0.5953728048160163,0.04167930745687472,-1.7020106660576388,0.16024881781714612
0.4500750125020837,0.5782177616081288,0.043287462801417445,-1.7281989141666787,0.16126796161961077
0.46007667944657443,0.5608037692565461,0.04490531540700795,-1.7535997861290387,0.1621275621884627
0.4700783463910652,0.5431387375648948,0.046531267950149224,-1.778202079994343,0.16282604528284395
0.48008001333555594,0.525230717638834,0.04816369813559819,-1.8019949781251996,0.16336195666167067
0.49008168028004667,0.5070879018860533,0.04980095869636578,-1.8249680471972003,0.16373396208363314
0.5000833472245374,0.48871862401627497,0.051441377393716875,-1.847111238198921,0.16394084730719588
0.5100850141690282,0.470131359041252,0.05308325701717036,-1.8684148864319208,0.16398151809059744
0.520086681113519,0.4513347232747695,0.05472487538449908,-1.8888697115107438,0.16385500019185056
0.5300883480580096,0.4323374743326444,0.05636448534172986,-1.9084668173629167,0.16356043936874218
0.5400900150025004,0.4131485111327241,0.058000314763143546,-1.927197692228951,0.16309710137883326
0.5500916819469912,0.3937768738948887,0.05963056655127491,-1.9450542086623428,0.16246437197945912
0.5600933488914819,0.37423174414105004,0.06125341863691268,-1.9620286235295699,0.161661756927729
0.5700950158359727,0.35452244469515015,0.06286702397909967,-1.9781135780100958,0.1606888819805264
0.5800966827804634,0.3346584396831642,0.06446951056513255,-1.9933020975963671,0.15954549289450895
0.5900983497249542,0.31464912875438145,0.06605904606549352,-2.0075877566633267,0.158231495255132
0.6001000166694449,0.2945005467429825,0.0676348773996668,-2.0209669610887344,0.1567474798059342
